iter	Passed	Remaining
0	255	255167
1	372	186101
2	426	141875
3	504	125653
4	562	111841
5	614	101764
6	663	94159
7	713	88522
8	796	87732
9	915	90621
10	1042	93734
11	1164	95840
12	1270	96426
13	1321	93066
14	1364	89598
15	1412	86879
16	1469	84957
17	1523	83116
18	1599	82566
19	1666	81679
20	1719	80173
21	1790	79605
22	1866	79286
23	1915	77910
24	1992	77724
25	2092	78383
26	2144	77275
27	2189	76019
28	2290	76707
29	2344	75818
30	2383	74515
31	2422	73279
32	2468	72322
33	2516	71491
34	2571	70904
35	2618	70107
36	2663	69319
37	2702	68411
38	2744	67635
39	2789	66959
40	2827	66143
41	2864	65341
42	2913	64841
43	2969	64508
44	3026	64220
45	3077	63821
46	3110	63061
47	3144	62361
48	3178	61687
49	3214	61083
50	3246	60415
51	3285	59903
52	3333	59557
53	3384	59294
54	3443	59174
55	3477	58628
56	3521	58253
57	3568	57960
58	3614	57649
59	3665	57418
60	3700	56962
61	3754	56803
62	3804	56586
63	3849	56302
64	3890	55963
65	3929	55607
66	3967	55247
67	4003	54875
68	4041	54536
69	4081	54227
70	4125	53983
71	4172	53780
72	4227	53687
73	4285	53631
74	4331	53426
75	4380	53255
76	4420	52982
77	4459	52718
78	4501	52473
79	4537	52178
80	4573	51893
81	4609	51601
82	4647	51348
83	4685	51098
84	4740	51034
85	4807	51097
86	4863	51035
87	4897	50758
88	4934	50511
89	4981	50370
90	5027	50216
91	5071	50054
92	5118	49923
93	5153	49672
94	5189	49433
95	5231	49266
96	5275	49110
97	5328	49046
98	5386	49024
99	5435	48916
100	5475	48739
101	5515	48556
102	5551	48346
103	5596	48218
104	5645	48124
105	5689	47988
106	5734	47855
107	5769	47654
108	5805	47452
109	5838	47236
110	5875	47055
111	5931	47025
112	5993	47048
113	6051	47030
114	6089	46860
115	6122	46660
116	6172	46586
117	6220	46492
118	6263	46373
119	6308	46264
120	6345	46097
121	6386	45959
122	6420	45781
123	6453	45593
124	6487	45409
125	6522	45241
126	6559	45086
127	6592	44914
128	6627	44746
129	6665	44607
130	6699	44439
131	6736	44300
132	6774	44164
133	6809	44007
134	6843	43851
135	6875	43678
136	6909	43526
137	6944	43378
138	6979	43232
139	7014	43089
140	7046	42925
141	7082	42791
142	7116	42650
143	7150	42506
144	7181	42347
145	7215	42204
146	7249	42065
147	7282	41921
148	7318	41799
149	7368	41757
150	7411	41673
151	7459	41618
152	7498	41509
153	7537	41406
154	7585	41354
155	7649	41388
156	7711	41408
157	7752	41313
158	7788	41193
159	7832	41120
160	7884	41085
161	7942	41085
162	7993	41043
163	8031	40943
164	8068	40833
165	8104	40715
166	8142	40614
167	8195	40589
168	8257	40605
169	8312	40586
170	8361	40536
171	8395	40417
172	8435	40324
173	8475	40235
174	8522	40175
175	8587	40203
176	8649	40219
177	8694	40150
178	8735	40067
179	8778	39990
180	8818	39900
181	8859	39819
182	8903	39747
183	8953	39705
184	9022	39749
185	9093	39797
186	9135	39716
187	9176	39632
188	9222	39573
189	9271	39523
190	9329	39516
191	9406	39584
192	9453	39529
193	9514	39529
194	9563	39481
195	9616	39448
196	9672	39427
197	9728	39406
198	9783	39377
199	9830	39321
200	9893	39327
201	9943	39282
202	9990	39224
203	10032	39144
204	10082	39100
205	10130	39046
206	10174	38978
207	10219	38912
208	10254	38811
209	10296	38732
210	10349	38698
211	10407	38684
212	10459	38646
213	10501	38572
214	10540	38484
215	10588	38431
216	10637	38384
217	10682	38319
218	10734	38282
219	10777	38209
220	10813	38116
221	10846	38012
222	10884	37925
223	10937	37891
224	10997	37881
225	11054	37858
226	11097	37788
227	11133	37696
228	11166	37594
229	11201	37502
230	11242	37426
231	11285	37360
232	11337	37321
233	11383	37264
234	11416	37165
235	11455	37084
236	11493	37003
237	11571	37048
238	11721	37322
239	11816	37417
240	11860	37354
241	11902	37282
242	11953	37237
243	11997	37173
244	12041	37108
245	12090	37057
246	12147	37033
247	12236	37103
248	12323	37168
249	12366	37099
250	12411	37035
251	12453	36965
252	12499	36905
253	12555	36875
254	12613	36852
255	12694	36894
256	12803	37015
257	12847	36948
258	12905	36921
259	12958	36882
260	13010	36839
261	13060	36789
262	13117	36759
263	13161	36693
264	13200	36613
265	13242	36539
266	13294	36496
267	13343	36446
268	13392	36394
269	13439	36336
270	13475	36250
271	13586	36364
272	13827	36821
273	13889	36803
274	13942	36758
275	13998	36720
276	14072	36731
277	14125	36685
278	14169	36617
279	14207	36534
280	14242	36442
281	14279	36357
282	14313	36263
283	14351	36183
284	14394	36112
285	14435	36038
286	14485	35987
287	14526	35913
288	14560	35823
289	14608	35764
290	14653	35701
291	14705	35655
292	14763	35623
293	14801	35543
294	14831	35443
295	14873	35375
296	14923	35323
297	14980	35288
298	15026	35229
299	15062	35145
300	15106	35081
301	15166	35053
302	15227	35027
303	15276	34975
304	15327	34925
305	15371	34861
306	15415	34797
307	15465	34747
308	15510	34685
309	15557	34626
310	15603	34569
311	15636	34481
312	15674	34403
313	15714	34331
314	15761	34275
315	15810	34222
316	15857	34166
317	15906	34113
318	15960	34072
319	16022	34047
320	16097	34050
321	16168	34044
322	16232	34023
323	16293	33994
324	16343	33944
325	16388	33882
326	16432	33818
327	16485	33774
328	16544	33741
329	16605	33715
