iter	Passed	Remaining
0	201	201493
1	238	119165
2	273	90919
3	318	79353
4	367	73144
5	451	74749
6	512	72714
7	557	69140
8	609	67061
9	657	65123
10	703	63242
11	740	60972
12	774	58826
13	827	58261
14	877	57634
15	932	57367
16	987	57120
17	1038	56645
18	1089	56239
19	1124	55089
20	1159	54065
21	1195	53144
22	1238	52627
23	1286	52334
24	1344	52418
25	1405	52652
26	1455	52454
27	1504	52239
28	1551	51959
29	1591	51466
30	1633	51067
31	1672	50605
32	1719	50384
33	1763	50116
34	1815	50054
35	1867	49995
36	1912	49784
37	1952	49428
38	1988	48994
39	2021	48515
40	2059	48166
41	2102	47965
42	2146	47768
43	2194	47679
44	2249	47734
45	2291	47531
46	2327	47184
47	2365	46909
48	2413	46841
49	2463	46802
50	2506	46638
51	2550	46488
52	2590	46281
53	2636	46190
54	2682	46093
55	2727	45982
56	2764	45734
57	2803	45531
58	2843	45358
59	2879	45110
60	2913	44842
61	2949	44620
62	2997	44574
63	3044	44530
64	3098	44572
65	3149	44566
66	3196	44506
67	3242	44444
68	3278	44230
69	3312	44004
70	3345	43777
71	3382	43590
72	3422	43466
73	3458	43272
74	3494	43094
75	3527	42889
76	3571	42810
77	3621	42805
78	3669	42779
79	3726	42849
80	3770	42781
81	3825	42831
82	3877	42837
83	3927	42827
84	3981	42855
85	4036	42898
86	4092	42944
87	4164	43157
88	4221	43213
89	4271	43185
90	4316	43116
91	4366	43098
92	4426	43165
93	4482	43204
94	4541	43266
95	4602	43341
96	4648	43271
97	4698	43240
98	4747	43208
99	4809	43288
100	4867	43324
101	4913	43254
102	4964	43231
103	5008	43148
104	5057	43106
105	5104	43047
106	5161	43080
107	5219	43107
108	5275	43124
109	5320	43045
110	5366	42976
111	5416	42944
112	5468	42925
113	5525	42945
114	5586	42991
115	5648	43045
116	5706	43065
117	5755	43020
118	5805	42982
119	5857	42958
120	5942	43170
121	6030	43402
122	6083	43375
123	6144	43406
124	6190	43336
125	6224	43177
126	6260	43032
127	6298	42907
128	6353	42897
129	6416	42939
130	6471	42931
131	6512	42821
132	6549	42694
133	6585	42562
134	6619	42415
135	6656	42287
136	6689	42139
137	6724	42004
138	6759	41871
139	6801	41780
140	6861	41803
141	6919	41808
142	6974	41797
143	7010	41675
